,상권_구분_코드_명,상권_코드_명,총_생활인구_수,총_직장_인구_수,점포_수,총_상주인구_수,아파트_단지_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,교통시설_수,학교_수,분기당_매출_금액,분기당_매출_건수
0,관광특구,강남 마이스 관광특구,0.0248486442405665,0.1517122960984451,0.1089108910891089,0.0011760194298862,0.0,0.057335581787521,0.0476190476190476,0.1269841269841269,0.0,0.0,0.0697674418604651,1.0,0.0,0.0,0.0,0.173076923076923,0.0,0.0701071511515269,0.0702596466618435
1,관광특구,강남 마이스 관광특구,0.0248486442405665,0.1517122960984451,0.1089108910891089,0.0011760194298862,0.0,0.057335581787521,0.0476190476190476,0.1269841269841269,0.0,0.0,0.0697674418604651,1.0,0.0,0.0,0.0,0.173076923076923,0.0,0.0779508461584071,0.0806859204114731
2,관광특구,강남 마이스 관광특구,0.0248486442405665,0.1517122960984451,0.1089108910891089,0.0011760194298862,0.0,0.057335581787521,0.0476190476190476,0.1269841269841269,0.0,0.0,0.0697674418604651,1.0,0.0,0.0,0.0,0.173076923076923,0.0,0.0775030860851822,0.0758237009382956
3,관광특구,강남 마이스 관광특구,0.0248486442405665,0.1517122960984451,0.1089108910891089,0.0011760194298862,0.0,0.057335581787521,0.0476190476190476,0.1269841269841269,0.0,0.0,0.0697674418604651,1.0,0.0,0.0,0.0,0.173076923076923,0.0,0.0833896178994112,0.0841329647895232
4,관광특구,강남 마이스 관광특구,0.0248486442405665,0.1517122960984451,0.1089108910891089,0.0011760194298862,0.0,0.087689713322091,0.1904761904761904,0.1587301587301587,0.0,0.0,0.0465116279069767,1.0,0.0,0.1176470588235294,0.0,0.2692307692307693,0.0,0.0701071511515269,0.0702596466618435
5,관광특구,강남 마이스 관광특구,0.0248486442405665,0.1517122960984451,0.1089108910891089,0.0011760194298862,0.0,0.087689713322091,0.1904761904761904,0.1587301587301587,0.0,0.0,0.0465116279069767,1.0,0.0,0.1176470588235294,0.0,0.2692307692307693,0.0,0.0779508461584071,0.0806859204114731
6,관광특구,강남 마이스 관광특구,0.0248486442405665,0.1517122960984451,0.1089108910891089,0.0011760194298862,0.0,0.087689713322091,0.1904761904761904,0.1587301587301587,0.0,0.0,0.0465116279069767,1.0,0.0,0.1176470588235294,0.0,0.2692307692307693,0.0,0.0775030860851822,0.0758237009382956
7,관광특구,강남 마이스 관광특구,0.0248486442405665,0.1517122960984451,0.1089108910891089,0.0011760194298862,0.0,0.087689713322091,0.1904761904761904,0.1587301587301587,0.0,0.0,0.0465116279069767,1.0,0.0,0.1176470588235294,0.0,0.2692307692307693,0.0,0.0833896178994112,0.0841329647895232
8,관광특구,강남 마이스 관광특구,0.0248486442405665,0.1517122960984451,0.1089108910891089,0.0011760194298862,0.0,0.057335581787521,0.0476190476190476,0.1269841269841269,0.0,0.0,0.0697674418604651,1.0,0.0,0.0,0.0,0.173076923076923,0.0,0.0701071511515269,0.0702596466618435
9,관광특구,강남 마이스 관광특구,0.0248486442405665,0.1517122960984451,0.1089108910891089,0.0011760194298862,0.0,0.057335581787521,0.0476190476190476,0.1269841269841269,0.0,0.0,0.0697674418604651,1.0,0.0,0.0,0.0,0.173076923076923,0.0,0.0779508461584071,0.0806859204114731
